order_id,date,customer_age,product_category,region,quantity,unit_price,discount_pct,payment_method,order_status,customer_satisfaction,return_flag,revenue
10000,2022-01-01 00:00:00.000000,56.0,Books,South,5.0,484.71,0.214,crypto,Refunded,,1.0,1904.91
10001,2022-01-01 21:55:05.754795,69.0,Electronics,South,3.0,174.4,0.015,,Refunded,2.0,0.0,515.35
10002,2022-01-02 19:50:11.509591,46.0,Books,South,12.0,31.48,0.323,Credit Card,Cancelled,5.0,0.0,255.74
10003,2022-01-03 17:45:17.264386,32.0,Electronics,South,1.0,336.21,0.128,crypto,Refunded,3.0,0.0,293.18
10004,2022-01-04 15:40:23.019182,60.0,Books,,9.0,29.31,0.225,PayPal,PENDING,,0.0,204.44
10005,2022-01-05 13:35:28.773978,25.0,Beauty,West,9.0,78.99,0.112,Debit Card,PENDING,2.0,0.0,631.29
10006,2022-01-06 11:30:34.528773,38.0,Electronics,,4.0,33.52,0.313,PayPal,Refunded,2.0,0.0,92.11
10007,2022-01-07 09:25:40.283569,56.0,Clothing,,3.0,53.38,0.355,Cash,Cancelled,5.0,0.0,103.29
10008,2022-01-08 07:20:46.038365,36.0,Home,Central,17.0,47.0,0.159,Cash,completed,5.0,,671.96
10009,2022-01-09 05:15:51.793160,40.0,Toys,East,2.0,19.89,0.345,Cash,Refunded,5.0,0.0,26.06
10010,2022-01-10 03:10:57.547956,28.0,Home,,1.0,122.85,0.107,,Refunded,3.0,0.0,109.71
10011,2022-01-11 01:06:03.302752,28.0,Sports,North,8.0,78.19,0.214,Credit Card,Refunded,2.0,0.0,491.66
10012,2022-01-11 23:01:09.057547,41.0,Home,North,13.0,113.66,0.344,PayPal,Refunded,4.0,0.0,969.29
10013,2022-01-12 20:56:14.812343,70.0,Food,North,15.0,48.63,,Debit Card,Cancelled,3.0,0.0,634.62
10014,2022-01-13 18:51:20.567139,53.0,Beauty,South,8.0,11.16,0.382,Cash,completed,1.0,0.0,55.18
10015,2022-01-14 16:46:26.321934,57.0,Books,West,12.0,257.56,0.049,PayPal,completed,,0.0,2939.27
10016,2022-01-15 14:41:32.076730,,Sports,,12.0,24.17,0.007,Cash,Completed,5.0,,288.01
10017,2022-01-16 12:36:37.831526,20.0,Food,West,14.0,51.26,0.362,Cash,Refunded,2.0,1.0,457.85
10018,2022-01-17 10:31:43.586321,39.0,Food,West,15.0,70.98,0.027,Debit Card,Refunded,,0.0,1035.95
10019,2022-01-18 08:26:49.341117,70.0,Electronics,East,15.0,50.85,0.397,,Completed,3.0,1.0,459.94
10020,2022-01-19 06:21:55.095913,19.0,Home,East,9.0,99.34,0.381,Credit Card,completed,1.0,0.0,553.42
10021,2022-01-20 04:17:00.850708,41.0,Clothing,West,19.0,120.07,0.055,crypto,Pending,3.0,1.0,2155.86
10022,2022-01-21 02:12:06.605504,61.0,Toys,West,8.0,25.28,0.215,PayPal,PENDING,3.0,0.0,158.76
10023,2022-01-22 00:07:12.360300,47.0,Clothing,South,19.0,232.89,0.074,crypto,Pending,4.0,0.0,4097.47
10024,2022-01-22 22:02:18.115095,55.0,Sports,South,6.0,24.04,,PayPal,completed,,1.0,119.57
10025,2022-01-23 19:57:23.869891,19.0,Beauty,East,19.0,49.61,0.025,PayPal,Refunded,4.0,1.0,919.03
10026,2022-01-24 17:52:29.624687,38.0,Clothing,North,4.0,20.8,0.09,Credit Card,Pending,3.0,1.0,75.71
10027,2022-01-25 15:47:35.379482,50.0,Books,West,7.0,14.76,0.145,Debit Card,Cancelled,1.0,0.0,88.34
10028,2022-01-26 13:42:41.134278,29.0,Clothing,South,4.0,115.93,0.175,Credit Card,Cancelled,2.0,,382.57
10029,2022-01-27 11:37:46.889074,39.0,Sports,East,12.0,1402.87,0.391,crypto,Completed,2.0,,10252.17
10030,2022-01-28 09:32:52.643869,,Toys,South,13.0,21.45,0.323,PayPal,completed,,0.0,188.78
10031,2022-01-29 07:27:58.398665,42.0,Clothing,West,3.0,142.36,0.295,Cash,completed,5.0,0.0,301.09
10032,2022-01-30 05:23:04.153461,66.0,Books,West,12.0,22.4,0.215,Cash,Pending,5.0,0.0,211.01
10033,2022-01-31 03:18:09.908256,44.0,Electronics,Central,2.0,32.7,0.336,,Refunded,2.0,,43.43
10034,2022-02-01 01:13:15.663052,59.0,Beauty,North,2.0,272.9,0.136,Credit Card,completed,3.0,0.0,471.57
10035,2022-02-01 23:08:21.417848,45.0,Sports,Central,9.0,9.13,0.284,Debit Card,Pending,3.0,0.0,58.83
10036,2022-02-02 21:03:27.172643,33.0,Electronics,,1.0,6.65,0.398,Credit Card,Pending,4.0,0.0,4.0
10037,2022-02-03 18:58:32.927439,32.0,Electronics,South,8.0,29.83,0.126,PayPal,PENDING,,0.0,208.57
10038,2022-02-04 16:53:38.682235,64.0,Electronics,East,6.0,73.43,0.27,PayPal,PENDING,4.0,0.0,321.62
10039,2022-02-05 14:48:44.437030,68.0,Food,West,6.0,57.77,0.338,Debit Card,completed,5.0,0.0,229.46
10040,2022-02-06 12:43:50.191826,61.0,Beauty,Central,18.0,51.05,0.366,crypto,Pending,2.0,,582.58
10041,2022-02-07 10:38:55.946622,72.0,Toys,Central,17.0,34.5,0.287,crypto,Completed,3.0,0.0,418.17
10042,2022-02-08 08:34:01.701417,69.0,Home,Central,12.0,85.1,0.113,Debit Card,Completed,2.0,1.0,905.8
10043,2022-02-09 06:29:07.456213,74.0,Beauty,East,6.0,1.0,0.131,crypto,PENDING,1.0,0.0,5.21
10044,2022-02-10 04:24:13.211009,20.0,Food,West,8.0,13.45,0.008,Cash,completed,2.0,0.0,106.74
10045,2022-02-11 02:19:18.965804,54.0,Home,South,19.0,29.6,0.304,crypto,Refunded,1.0,0.0,391.43
10046,2022-02-12 00:14:24.720600,68.0,Beauty,South,10.0,77.13,0.017,crypto,Completed,4.0,0.0,758.19
10047,2022-02-12 22:09:30.475396,24.0,Electronics,East,1.0,197.89,,crypto,Completed,4.0,0.0,129.42
10048,2022-02-13 20:04:36.230191,38.0,Sports,Central,13.0,11.45,0.047,Cash,PENDING,5.0,,141.85
10049,2022-02-14 17:59:41.984987,26.0,Home,North,17.0,190.28,0.069,crypto,PENDING,2.0,0.0,3011.56
10050,2022-02-15 15:54:47.739783,56.0,Books,East,3.0,19.24,0.191,Cash,completed,2.0,0.0,46.7
10051,2022-02-16 13:49:53.494578,35.0,Books,East,8.0,28.34,0.295,Debit Card,PENDING,1.0,0.0,159.84
10052,2022-02-17 11:44:59.249374,21.0,Clothing,West,14.0,66.53,0.056,Credit Card,Cancelled,4.0,0.0,879.26
10053,2022-02-18 09:40:05.004170,42.0,Home,South,3.0,25.95,0.176,Debit Card,Pending,1.0,,64.15
10054,2022-02-19 07:35:10.758965,31.0,Sports,East,16.0,125.48,0.193,Credit Card,Completed,4.0,0.0,1620.2
10055,2022-02-20 05:30:16.513761,67.0,Toys,East,13.0,20.38,0.085,Debit Card,Cancelled,1.0,0.0,242.42
10056,2022-02-21 03:25:22.268557,26.0,Food,Central,17.0,20.75,0.046,Credit Card,Refunded,4.0,0.0,336.52
