employee_id,hire_date,department,job_level,employment_type,age,years_experience,education_level,base_salary,bonus_pct,performance_score,remote_days_per_week,training_hours,attrition
EMP0001,2015-01-01 00:00:00.000000,Marketing,Mid,Part-time,22.0,18.0,Bachelor,,,1.0,3.0,13.6,0
EMP0002,2015-01-04 07:45:09.008189,HR,Director,Contract,30.0,28.0,Bachelor,,0.144,4.0,3.0,3.3,0
EMP0003,2015-01-07 15:30:18.016378,Marketing,Director,Contract,50.0,18.0,Bachelor,50886.0,0.004,4.0,,2.5,0
EMP0004,2015-01-10 23:15:27.024567,Engineering,Director,Intern,31.0,29.0,bachelor,82297.0,0.035,4.0,2.0,36.5,0
EMP0005,2015-01-14 07:00:36.032757,Marketing,Director,Contract,63.0,29.0,Bachelor,82303.0,0.014,3.0,4.0,58.0,0
EMP0006,2015-01-17 14:45:45.040946,Engineering,Senior,Intern,60.0,25.0,,30440.0,0.175,4.0,0.0,60.8,1
EMP0007,2015-01-20 22:30:54.049135,Sales,Mid,Full-time,,14.0,phd,44990.0,0.266,4.0,0.0,28.3,0
EMP0008,2015-01-24 06:16:03.057324,Finance,Director,Part-time,27.0,26.0,PhD,66638.0,0.139,5.0,0.0,38.2,0
EMP0009,2015-01-27 14:01:12.065514,Operations,Lead,Part-time,,28.0,phd,37235.0,0.115,3.0,4.0,46.0,0
EMP0010,2015-01-30 21:46:21.073703,Finance,Mid,Full-time,64.0,27.0,bachelor,21012.0,0.2,3.0,4.0,0.1,0
EMP0011,2015-02-03 05:31:30.081892,Marketing,Junior,Intern,,3.0,Master,68182.0,0.012,4.0,0.0,7.0,1
EMP0012,2015-02-06 13:16:39.090081,IT,Director,Contract,51.0,15.0,High School,115659.0,0.286,,1.0,8.0,0
EMP0013,2015-02-09 21:01:48.098271,Legal,Senior,Part-time,34.0,4.0,Bachelor,26246.0,0.275,3.0,,1.2,0
EMP0014,2015-02-13 04:46:57.106460,HR,Manager,Part-time,53.0,19.0,MASTER,26508.0,0.049,,4.0,938.1662619067537,0
EMP0015,2015-02-16 12:32:06.114649,IT,Mid,Full-time,52.0,7.0,bachelor,59647.0,0.287,3.0,0.0,7.4,0
EMP0016,2015-02-19 20:17:15.122838,Marketing,Director,Intern,28.0,2.0,MASTER,163731.0,0.232,2.0,1.0,13.4,1
EMP0017,2015-02-23 04:02:24.131028,Marketing,Director,Contract,31.0,15.0,MASTER,78949.0,,4.0,0.0,1.9,0
EMP0018,2015-02-26 11:47:33.139217,Engineering,Mid,Contract,49.0,24.0,Bachelor,21959.0,0.176,2.0,,31.9,0
EMP0019,2015-03-01 19:32:42.147406,Operations,Lead,Contract,51.0,21.0,,39834.0,0.103,4.0,1.0,15.4,0
EMP0020,2015-03-05 03:17:51.155595,HR,Junior,Part-time,,3.0,bachelor,37228.0,0.184,,5.0,3.8,0
EMP0021,2015-03-08 11:03:00.163785,Legal,Lead,Full-time,,14.0,phd,,0.132,5.0,,7.3,0
EMP0022,2015-03-11 18:48:09.171974,HR,Senior,Contract,57.0,6.0,phd,42022.0,0.175,4.0,2.0,39.3,0
EMP0023,2015-03-15 02:33:18.180163,Finance,Director,Full-time,40.0,3.0,High School,26112.0,0.091,4.0,1.0,19.4,1
EMP0024,2015-03-18 10:18:27.188353,IT,Director,Intern,40.0,24.0,bachelor,,0.027,3.0,0.0,3.1,0
